type,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10
Control,Toronto,Fine Dining,No,8,Yes,Yes,18.82,No
Control,Durham,Premium Casual,Franchise,21,Yes,Yes,15.37,No
Control,Peel,Fast Casual,Franchise,7,Yes,No,17.39,No
Control,Peel,Family Style,No,17,Yes,Yes,16.51,No
Control,York,Fast Food,Franchise,11,Yes,No,20.76,No
Control,Toronto,Premium Casual,No,23,Yes,Yes,16.67,No
Control,Peel,Fine Dining,Franchise,15,Yes,No,14.47,No
Control,Durham,Casual Dining,No,0,Yes,No,18.23,No
Control,Peel,Casual Dining,No,10,Yes,Yes,19.26,No
Control,Toronto,Fast Casual,No,18,Yes,No,14.99,No
Control,Halton,Casual Dining,No,0,Yes,Yes,17.68,No
Control,Peel,Casual Dining,No,16,Yes,No,13.64,No
Control,Peel,Casual Dining,Franchise,15,Yes,No,15.69,No
Control,York,Casual Dining,Franchise,14,Yes,No,15.38,No
Control,Toronto,Casual Dining,Franchise,3,Yes,No,15.57,No
Control,Durham,Fast Food,No,11,Yes,No,21,No
Control,Toronto,Casual Dining,No,0,No,Yes,21.15,No
Control,York,Casual Dining,Franchise,14,Yes,No,16.83,No
Control,Peel,Fast Casual,Franchise,17,Yes,No,16.12,No
Control,Durham,Fine Dining,No,10,Yes,Yes,20.42,No
Control,Peel,Fast Casual,Franchise,11,Yes,Yes,15.52,No
Control,Durham,Fast Casual,No,0,Yes,No,16.32,No
Control,Durham,Family Style,No,5,Yes,No,17.3,No
Control,Toronto,Premium Casual,Franchise,19,Yes,Yes,17.18,No
Control,York,Family Style,No,6,Yes,Yes,16.4,No
Control,Durham,Casual Dining,No,10,Yes,Yes,19,Yes
Control,Peel,Fine Dining,No,8,Yes,No,23.01,No
Control,Toronto,Family Style,Franchise,5,Yes,Yes,11.16,No
Control,Durham,Fast Casual,Franchise,4,No,Yes,17.54,No
Control,Peel,Casual Dining,No,9,Yes,Yes,14.8,No
Control,Peel,Family Style,No,2,Yes,No,19.01,No
Control,York,Fine Dining,No,3,No,No,17.52,No
Control,York,Fast Food,Franchise,18,No,No,19.21,No
Control,Durham,Casual Dining,Franchise,17,Yes,No,14.26,No
Control,Toronto,Family Style,No,13,Yes,Yes,20.18,No
Control,Peel,Fine Dining,No,5,Yes,Yes,21.13,No
Control,Peel,Fast Casual,Franchise,6,Yes,No,16.1,No
Control,Toronto,Casual Dining,Franchise,9,No,Yes,23.22,No
Control,Peel,Fast Casual,No,0,Yes,Yes,15.52,No
Control,Peel,Casual Dining,Franchise,0,Yes,Yes,18.59,No
Control,Peel,Family Style,Franchise,16,Yes,No,13.42,No
Control,Peel,Fast Casual,No,16,Yes,Yes,18.5,No
Control,Toronto,Fast Food,No,13,Yes,No,13.84,No
Control,Toronto,Family Style,Franchise,4,Yes,Yes,20.35,No
Control,Halton,Fast Food,Franchise,8,No,No,19.82,No
